年,路線方向,路段,交流道,縣市,進出口,週類別,交通輛數
2020,國3南向,非主線資料,竹南,待核對,出口,週六,4532
2020,國3北向,非主線資料,竹南,待核對,進口,週六,4790
2020,國3南向,非主線資料,竹南,待核對,進口,週六,4271
2020,國3北向,非主線資料,竹南,待核對,出口,週日,4986
2020,國3南向,非主線資料,竹南,待核對,出口,週日,3456
2020,國3北向,非主線資料,竹南,待核對,進口,週日,4680
2020,國3南向,非主線資料,竹南,待核對,進口,週日,3784
2020,國3北向,非主線資料,竹山,南投縣,出口,週2-4,2513
2020,國3南向,非主線資料,竹山,南投縣,出口,週2-4,6662
2020,國3北向,非主線資料,竹山,南投縣,進口,週2-4,6607
2020,國3南向,非主線資料,竹山,南投縣,進口,週2-4,2258
2020,國3北向,非主線資料,竹山,南投縣,出口,週六,4789
2020,國3南向,非主線資料,竹山,南投縣,出口,週六,11228
2020,國3北向,非主線資料,竹山,南投縣,進口,週六,9717
2020,國3南向,非主線資料,竹山,南投縣,進口,週六,3977
2020,國3北向,非主線資料,竹山,南投縣,出口,週日,4539
2020,國3南向,非主線資料,竹山,南投縣,出口,週日,9648
2020,國3北向,非主線資料,竹山,南投縣,進口,週日,10959
2020,國3南向,非主線資料,竹山,南投縣,進口,週日,4882
2020,國3北向,非主線資料,竹崎,嘉義縣,出口,週2-4,5510
2020,國3南向,非主線資料,竹崎,嘉義縣,出口,週2-4,5470
2020,國3北向,非主線資料,竹崎,嘉義縣,進口,週2-4,5389
2020,國3南向,非主線資料,竹崎,嘉義縣,進口,週2-4,5705
2020,國3北向,非主線資料,竹崎,嘉義縣,出口,週六,6407
2020,國3南向,非主線資料,竹崎,嘉義縣,出口,週六,7648
2020,國3北向,非主線資料,竹崎,嘉義縣,進口,週六,7133
2020,國3南向,非主線資料,竹崎,嘉義縣,進口,週六,6472
2020,國3北向,非主線資料,竹崎,嘉義縣,出口,週日,6110
2020,國3南向,非主線資料,竹崎,嘉義縣,出口,週日,7114
2020,國3北向,非主線資料,竹崎,嘉義縣,進口,週日,8056
2020,國3南向,非主線資料,竹崎,嘉義縣,進口,週日,6391
2020,國3北向,非主線資料,竹林,新竹縣,出口,週2-4,6242
2020,國3南向,非主線資料,竹林,新竹縣,出口,週2-4,11177
2020,國3北向,非主線資料,竹林,新竹縣,進口,週2-4,10629
2020,國3南向,非主線資料,竹林,新竹縣,進口,週2-4,6749
2020,國3北向,非主線資料,竹林,新竹縣,出口,週六,6356
2020,國3南向,非主線資料,竹林,新竹縣,出口,週六,14526
2020,國3北向,非主線資料,竹林,新竹縣,進口,週六,14327
2020,國3南向,非主線資料,竹林,新竹縣,進口,週六,6287
2020,國3北向,非主線資料,竹林,新竹縣,出口,週日,6147
2020,國3南向,非主線資料,竹林,新竹縣,出口,週日,13997
2020,國3北向,非主線資料,竹林,新竹縣,進口,週日,13092
2020,國3南向,非主線資料,竹林,新竹縣,進口,週日,5625
2020,國3北向,非主線資料,竹田系統,屏東縣,出口,週2-4,10632
2020,國3南向,非主線資料,竹田系統,屏東縣,出口,週2-4,8347
2020,國3北向,非主線資料,竹田系統,屏東縣,進口,週2-4,8356
2020,國3南向,非主線資料,竹田系統,屏東縣,進口,週2-4,10826
2020,國3北向,非主線資料,竹田系統,屏東縣,出口,週六,14050
2020,國3南向,非主線資料,竹田系統,屏東縣,出口,週六,9165
2020,國3北向,非主線資料,竹田系統,屏東縣,進口,週六,9154
2020,國3南向,非主線資料,竹田系統,屏東縣,進口,週六,16564
2020,國3北向,非主線資料,竹田系統,屏東縣,出口,週日,16402
2020,國3南向,非主線資料,竹田系統,屏東縣,出口,週日,8604
2020,國3北向,非主線資料,竹田系統,屏東縣,進口,週日,9267
2020,國3南向,非主線資料,竹田系統,屏東縣,進口,週日,14502
2020,國5北向,非主線資料,羅東,宜蘭縣,出口,週2-4,3327
2020,國5南向,非主線資料,羅東,宜蘭縣,出口,週2-4,12200
2020,國5北向,非主線資料,羅東,宜蘭縣,進口,週2-4,11344
2020,國5南向,非主線資料,羅東,宜蘭縣,進口,週2-4,3162
2020,國5北向,非主線資料,羅東,宜蘭縣,出口,週六,2984
2020,國5南向,非主線資料,羅東,宜蘭縣,出口,週六,15573
2020,國5北向,非主線資料,羅東,宜蘭縣,進口,週六,12204
2020,國5南向,非主線資料,羅東,宜蘭縣,進口,週六,3103
2020,國5北向,非主線資料,羅東,宜蘭縣,出口,週日,1670
2020,國5南向,非主線資料,羅東,宜蘭縣,出口,週日,11147
2020,國5北向,非主線資料,羅東,宜蘭縣,進口,週日,9667
2020,國5南向,非主線資料,羅東,宜蘭縣,進口,週日,2743
2020,國6西向,非主線資料,舊正,南投縣,出口,週2-4,2266
2020,國6東向,非主線資料,舊正,南投縣,出口,週2-4,2916
2020,國6西向,非主線資料,舊正,南投縣,進口,週2-4,3023
