年,月,行業別,營業額_千元,年月
2021,4,汽機車及其零配件、用品零售業,59985636,202104
2021,4,電子購物及郵購業,28869857,202104
2021,4,餐飲業,63227411,202104
2021,5,百貨公司業,19711209,202105
2021,5,超級市場業,23845867,202105
2021,5,便利商店業,29631052,202105
2021,5,零售式量販業,18573275,202105
2021,5,其他綜合商品零售業,9180349,202105
2021,5,食品、飲料及菸草製品零售業,20129491,202105
2021,5,文教育樂用品零售業,5505372,202105
2021,5,燃料及相關產品零售業,19319556,202105
2021,5,資通訊及家電設備零售業,25008821,202105
2021,5,汽機車及其零配件、用品零售業,58242980,202105
2021,5,電子購物及郵購業,34821065,202105
2021,5,餐飲業,48217427,202105
2021,6,百貨公司業,8916613,202106
2021,6,超級市場業,22606695,202106
2021,6,便利商店業,27023519,202106
2021,6,零售式量販業,18090389,202106
2021,6,其他綜合商品零售業,5983535,202106
2021,6,食品、飲料及菸草製品零售業,19600309,202106
2021,6,文教育樂用品零售業,4168471,202106
2021,6,燃料及相關產品零售業,16914056,202106
2021,6,資通訊及家電設備零售業,23285645,202106
2021,6,汽機車及其零配件、用品零售業,48383758,202106
2021,6,電子購物及郵購業,36017906,202106
2021,6,餐飲業,36917524,202106
2021,7,百貨公司業,15358197,202107
2021,7,超級市場業,21776495,202107
2021,7,便利商店業,28715924,202107
2021,7,零售式量販業,20396160,202107
2021,7,其他綜合商品零售業,7128785,202107
2021,7,食品、飲料及菸草製品零售業,20315238,202107
2021,7,文教育樂用品零售業,4915610,202107
2021,7,燃料及相關產品零售業,20299614,202107
2021,7,資通訊及家電設備零售業,24231665,202107
2021,7,汽機車及其零配件、用品零售業,62278033,202107
2021,7,電子購物及郵購業,33180190,202107
2021,7,餐飲業,40866510,202107
2021,8,百貨公司業,23485119,202108
2021,8,超級市場業,22454663,202108
2021,8,便利商店業,27596003,202108
2021,8,零售式量販業,22801342,202108
2021,8,其他綜合商品零售業,8648642,202108
2021,8,食品、飲料及菸草製品零售業,22573639,202108
2021,8,文教育樂用品零售業,5834152,202108
2021,8,燃料及相關產品零售業,21816202,202108
