年月,年,月,家用產品,銷售額_千元,年月KEY
2023-06-01,2023,6,瓦斯爐,229824.0,202306
2023-06-01,2023,6,其他家用電器及零組件,1068070.0,202306
2023-07-01,2023,7,家用電扇,582155.0,202307
2023-07-01,2023,7,電冰箱,575101.0,202307
2023-07-01,2023,7,排油煙機,236426.0,202307
2023-07-01,2023,7,熱水器,249522.0,202307
2023-07-01,2023,7,瓦斯爐,234830.0,202307
2023-07-01,2023,7,其他家用電器及零組件,1046912.0,202307
2023-08-01,2023,8,家用電扇,625211.0,202308
2023-08-01,2023,8,電冰箱,575884.0,202308
2023-08-01,2023,8,排油煙機,276131.0,202308
2023-08-01,2023,8,熱水器,276767.0,202308
2023-08-01,2023,8,瓦斯爐,219293.0,202308
2023-08-01,2023,8,其他家用電器及零組件,1090516.0,202308
2023-09-01,2023,9,家用電扇,529051.0,202309
2023-09-01,2023,9,電冰箱,424622.0,202309
2023-09-01,2023,9,排油煙機,244327.0,202309
2023-09-01,2023,9,熱水器,250635.0,202309
2023-09-01,2023,9,瓦斯爐,217448.0,202309
2023-09-01,2023,9,其他家用電器及零組件,1043640.0,202309
2023-10-01,2023,10,家用電扇,502411.0,202310
2023-10-01,2023,10,電冰箱,570339.0,202310
2023-10-01,2023,10,排油煙機,246270.0,202310
2023-10-01,2023,10,熱水器,264769.0,202310
2023-10-01,2023,10,瓦斯爐,183415.0,202310
2023-10-01,2023,10,其他家用電器及零組件,1096305.0,202310
2023-11-01,2023,11,家用電扇,501321.0,202311
2023-11-01,2023,11,電冰箱,520875.0,202311
2023-11-01,2023,11,排油煙機,277847.0,202311
2023-11-01,2023,11,熱水器,385769.0,202311
2023-11-01,2023,11,瓦斯爐,225196.0,202311
2023-11-01,2023,11,其他家用電器及零組件,1110092.0,202311
2023-12-01,2023,12,家用電扇,543064.0,202312
2023-12-01,2023,12,電冰箱,515122.0,202312
2023-12-01,2023,12,排油煙機,275079.0,202312
2023-12-01,2023,12,熱水器,376975.0,202312
2023-12-01,2023,12,瓦斯爐,252576.0,202312
2023-12-01,2023,12,其他家用電器及零組件,1180574.0,202312
2024-01-01,2024,1,家用電扇,542445.0,202401
2024-01-01,2024,1,電冰箱,595377.0,202401
2024-01-01,2024,1,排油煙機,325281.0,202401
2024-01-01,2024,1,熱水器,460529.0,202401
2024-01-01,2024,1,瓦斯爐,318347.0,202401
2024-01-01,2024,1,其他家用電器及零組件,1264143.0,202401
2024-02-01,2024,2,家用電扇,376753.0,202402
2024-02-01,2024,2,電冰箱,320325.0,202402
2024-02-01,2024,2,排油煙機,210655.0,202402
2024-02-01,2024,2,熱水器,297516.0,202402
2024-02-01,2024,2,瓦斯爐,249476.0,202402
2024-02-01,2024,2,其他家用電器及零組件,873418.0,202402
2024-03-01,2024,3,家用電扇,580645.0,202403
2024-03-01,2024,3,電冰箱,394986.0,202403
2024-03-01,2024,3,排油煙機,250991.0,202403
2024-03-01,2024,3,熱水器,419273.0,202403
2024-03-01,2024,3,瓦斯爐,291276.0,202403
2024-03-01,2024,3,其他家用電器及零組件,1130485.0,202403
2024-04-01,2024,4,家用電扇,628040.0,202404
2024-04-01,2024,4,電冰箱,452219.0,202404
2024-04-01,2024,4,排油煙機,211042.0,202404
2024-04-01,2024,4,熱水器,348660.0,202404
2024-04-01,2024,4,瓦斯爐,234537.0,202404
2024-04-01,2024,4,其他家用電器及零組件,1087310.0,202404
2024-05-01,2024,5,家用電扇,618923.0,202405
2024-05-01,2024,5,電冰箱,509095.0,202405
2024-05-01,2024,5,排油煙機,250483.0,202405
2024-05-01,2024,5,熱水器,287266.0,202405
2024-05-01,2024,5,瓦斯爐,217901.0,202405
2024-05-01,2024,5,其他家用電器及零組件,1066506.0,202405
2024-06-01,2024,6,家用電扇,641894.0,202406
2024-06-01,2024,6,電冰箱,475948.0,202406
2024-06-01,2024,6,排油煙機,251561.0,202406
2024-06-01,2024,6,熱水器,270648.0,202406
2024-06-01,2024,6,瓦斯爐,191528.0,202406
2024-06-01,2024,6,其他家用電器及零組件,970648.0,202406
2024-07-01,2024,7,家用電扇,695914.0,202407
2024-07-01,2024,7,電冰箱,554136.0,202407
2024-07-01,2024,7,排油煙機,253071.0,202407
2024-07-01,2024,7,熱水器,277596.0,202407
2024-07-01,2024,7,瓦斯爐,232780.0,202407
2024-07-01,2024,7,其他家用電器及零組件,1067040.0,202407
2024-08-01,2024,8,家用電扇,598489.0,202408
2024-08-01,2024,8,電冰箱,513120.0,202408
2024-08-01,2024,8,排油煙機,295211.0,202408
2024-08-01,2024,8,熱水器,331843.0,202408
2024-08-01,2024,8,瓦斯爐,245874.0,202408
2024-08-01,2024,8,其他家用電器及零組件,981430.0,202408
2024-09-01,2024,9,家用電扇,507435.0,202409
2024-09-01,2024,9,電冰箱,394989.0,202409
2024-09-01,2024,9,排油煙機,250688.0,202409
2024-09-01,2024,9,熱水器,302127.0,202409
2024-09-01,2024,9,瓦斯爐,226107.0,202409
2024-09-01,2024,9,其他家用電器及零組件,1018012.0,202409
2024-10-01,2024,10,家用電扇,539477.0,202410
2024-10-01,2024,10,電冰箱,537878.0,202410
2024-10-01,2024,10,排油煙機,270943.0,202410
2024-10-01,2024,10,熱水器,324930.0,202410
2024-10-01,2024,10,瓦斯爐,215385.0,202410
2024-10-01,2024,10,其他家用電器及零組件,1092576.0,202410
2024-11-01,2024,11,家用電扇,432791.0,202411
2024-11-01,2024,11,電冰箱,513341.0,202411
