年,月,年月,縣市,營業行車次數_班次,年月KEY
2017,9,2017-09-01,高雄市,252922.0,201709
2017,10,2017-10-01,南投縣,886.0,201710
2017,10,2017-10-01,嘉義市,1612.0,201710
2017,10,2017-10-01,嘉義縣,4557.0,201710
2017,10,2017-10-01,基隆市,62947.0,201710
2017,10,2017-10-01,宜蘭縣,18375.0,201710
2017,10,2017-10-01,屏東縣,8240.0,201710
2017,10,2017-10-01,彰化縣,4880.0,201710
2017,10,2017-10-01,新北市,680707.0,201710
2017,10,2017-10-01,新竹市,18024.0,201710
2017,10,2017-10-01,新竹縣,7362.0,201710
2017,10,2017-10-01,桃園市,172525.0,201710
2017,10,2017-10-01,澎湖縣,7011.0,201710
2017,10,2017-10-01,臺中市,279712.0,201710
2017,10,2017-10-01,臺北市,1045595.0,201710
2017,10,2017-10-01,臺南市,83639.0,201710
2017,10,2017-10-01,臺東縣,2542.0,201710
2017,10,2017-10-01,花蓮縣,1916.0,201710
2017,10,2017-10-01,苗栗縣,1240.0,201710
2017,10,2017-10-01,連江縣,2462.0,201710
2017,10,2017-10-01,金門縣,10671.0,201710
2017,10,2017-10-01,雲林縣,3684.0,201710
2017,10,2017-10-01,高雄市,270317.0,201710
2017,11,2017-11-01,南投縣,800.0,201711
2017,11,2017-11-01,嘉義市,1560.0,201711
2017,11,2017-11-01,嘉義縣,4346.0,201711
2017,11,2017-11-01,基隆市,61393.0,201711
2017,11,2017-11-01,宜蘭縣,17065.0,201711
2017,11,2017-11-01,屏東縣,8299.0,201711
2017,11,2017-11-01,彰化縣,4883.0,201711
2017,11,2017-11-01,新北市,682365.0,201711
2017,11,2017-11-01,新竹市,17586.0,201711
2017,11,2017-11-01,新竹縣,7336.0,201711
2017,11,2017-11-01,桃園市,167838.0,201711
2017,11,2017-11-01,澎湖縣,6190.0,201711
2017,11,2017-11-01,臺中市,273638.0,201711
2017,11,2017-11-01,臺北市,1040211.0,201711
2017,11,2017-11-01,臺南市,81141.0,201711
2017,11,2017-11-01,臺東縣,2460.0,201711
2017,11,2017-11-01,花蓮縣,1903.0,201711
2017,11,2017-11-01,苗栗縣,1200.0,201711
2017,11,2017-11-01,連江縣,2396.0,201711
2017,11,2017-11-01,金門縣,10332.0,201711
2017,11,2017-11-01,雲林縣,3540.0,201711
2017,11,2017-11-01,高雄市,251775.0,201711
2017,12,2017-12-01,南投縣,896.0,201712
2017,12,2017-12-01,嘉義市,1612.0,201712
2017,12,2017-12-01,嘉義縣,3925.0,201712
2017,12,2017-12-01,基隆市,61604.0,201712
2017,12,2017-12-01,宜蘭縣,17656.0,201712
2017,12,2017-12-01,屏東縣,7713.0,201712
2017,12,2017-12-01,彰化縣,4993.0,201712
2017,12,2017-12-01,新北市,690661.0,201712
2017,12,2017-12-01,新竹市,18313.0,201712
2017,12,2017-12-01,新竹縣,7474.0,201712
2017,12,2017-12-01,桃園市,172578.0,201712
2017,12,2017-12-01,澎湖縣,6093.0,201712
2017,12,2017-12-01,臺中市,280739.0,201712
2017,12,2017-12-01,臺北市,1057857.0,201712
2017,12,2017-12-01,臺南市,84156.0,201712
2017,12,2017-12-01,臺東縣,2542.0,201712
2017,12,2017-12-01,花蓮縣,2007.0,201712
2017,12,2017-12-01,苗栗縣,1200.0,201712
2017,12,2017-12-01,連江縣,2462.0,201712
2017,12,2017-12-01,金門縣,10753.0,201712
2017,12,2017-12-01,雲林縣,3662.0,201712
2017,12,2017-12-01,高雄市,259423.0,201712
2018,1,2018-01-01,南投縣,892.0,201801
2018,1,2018-01-01,嘉義市,1612.0,201801
2018,1,2018-01-01,嘉義縣,4462.0,201801
2018,1,2018-01-01,基隆市,64546.0,201801
2018,1,2018-01-01,宜蘭縣,17337.0,201801
2018,1,2018-01-01,屏東縣,7269.0,201801
2018,1,2018-01-01,彰化縣,4546.0,201801
2018,1,2018-01-01,新北市,694174.0,201801
2018,1,2018-01-01,新竹市,18355.0,201801
2018,1,2018-01-01,新竹縣,7488.0,201801
