年,季,日期標準,縣市,鄉鎮市區,住宅拍賣移轉筆數,年月,日期格式
2018,2,2018-01-04,南投縣,水里鄉,2,201801,2018-04-01
2018,2,2018-01-04,雲林縣,斗六市,8,201801,2018-04-01
2018,2,2018-01-04,雲林縣,斗南鎮,5,201801,2018-04-01
2018,2,2018-01-04,雲林縣,虎尾鎮,4,201801,2018-04-01
2018,2,2018-01-04,雲林縣,北港鎮,2,201801,2018-04-01
2018,2,2018-01-04,雲林縣,大埤鄉,2,201801,2018-04-01
2018,2,2018-01-04,雲林縣,莿桐鄉,2,201801,2018-04-01
2018,2,2018-01-04,雲林縣,林內鄉,1,201801,2018-04-01
2018,2,2018-01-04,雲林縣,崙背鄉,1,201801,2018-04-01
2018,2,2018-01-04,雲林縣,麥寮鄉,1,201801,2018-04-01
2018,2,2018-01-04,雲林縣,台西鄉,2,201801,2018-04-01
2018,2,2018-01-04,雲林縣,水林鄉,1,201801,2018-04-01
2018,2,2018-01-04,嘉義縣,朴子市,3,201801,2018-04-01
2018,2,2018-01-04,嘉義縣,民雄鄉,1,201801,2018-04-01
2018,2,2018-01-04,嘉義縣,東石鄉,1,201801,2018-04-01
2018,2,2018-01-04,嘉義縣,水上鄉,2,201801,2018-04-01
2018,2,2018-01-04,嘉義縣,中埔鄉,1,201801,2018-04-01
2018,2,2018-01-04,屏東縣,屏東市,10,201801,2018-04-01
2018,2,2018-01-04,屏東縣,潮州鎮,6,201801,2018-04-01
2018,2,2018-01-04,屏東縣,恆春鎮,2,201801,2018-04-01
2018,2,2018-01-04,屏東縣,萬丹鄉,3,201801,2018-04-01
2018,2,2018-01-04,屏東縣,里港鄉,2,201801,2018-04-01
2018,2,2018-01-04,屏東縣,鹽埔鄉,1,201801,2018-04-01
2018,2,2018-01-04,屏東縣,高樹鄉,2,201801,2018-04-01
2018,2,2018-01-04,屏東縣,萬巒鄉,1,201801,2018-04-01
2018,2,2018-01-04,屏東縣,新埤鄉,2,201801,2018-04-01
2018,2,2018-01-04,屏東縣,枋寮鄉,1,201801,2018-04-01
