日期,匯率,年月KEY
2021-01-04,28.05400085,202101
2021-01-05,28.10099983,202101
2021-01-06,27.95499992,202101
2021-01-07,27.82999992,202101
2021-01-08,27.92679977,202101
2021-01-11,28.0170002,202101
2021-01-12,28.02070045,202101
2021-01-13,27.97800064,202101
2021-01-14,28.01799965,202101
2021-01-15,27.98690033,202101
2021-01-18,27.9822998,202101
2021-01-19,27.98220062,202101
2021-01-20,27.91500092,202101
2021-01-21,27.88999939,202101
2021-01-22,27.95879936,202101
2021-01-25,27.95159912,202101
2021-01-26,27.92000008,202101
2021-01-27,27.91799927,202101
2021-01-28,27.93300056,202101
2021-01-29,27.93260002,202101
2021-02-01,28.00099945,202102
2021-02-02,27.95030022,202102
2021-02-03,27.8579998,202102
2021-02-04,27.86400032,202102
2021-02-05,27.9029007,202102
2021-02-08,27.97360039,202102
2021-02-09,27.88089943,202102
2021-02-10,27.85390091,202102
2021-02-11,27.9612999,202102
2021-02-12,27.94309998,202102
2021-02-15,28.01499939,202102
2021-02-16,27.99399948,202102
2021-02-17,28.04000092,202102
2021-02-18,27.91869926,202102
2021-02-19,27.86079979,202102
2021-02-22,27.90780067,202102
2021-02-23,27.80940056,202102
2021-02-24,27.85020065,202102
2021-02-25,27.64999962,202102
2021-02-26,27.76499939,202102
2021-03-01,27.85499954,202103
2021-03-02,27.81900024,202103
2021-03-03,27.73999977,202103
2021-03-04,27.71999931,202103
2021-03-05,27.81299973,202103
2021-03-08,27.92749977,202103
2021-03-09,28.28300095,202103
2021-03-10,28.25200081,202103
2021-03-11,28.20199966,202103
2021-03-12,28.00099945,202103
2021-03-15,28.14570045,202103
2021-03-16,28.17670059,202103
2021-03-17,28.23649979,202103
2021-03-18,28.21759987,202103
2021-03-19,28.40469933,202103
2021-03-22,28.38610077,202103
2021-03-23,28.30859947,202103
2021-03-24,28.40299988,202103
2021-03-25,28.48069954,202103
2021-03-26,28.50329971,202103
2021-03-29,28.58550072,202103
2021-03-30,28.52750015,202103
2021-03-31,28.44109917,202103
2021-04-01,28.37439919,202104
2021-04-02,28.46170044,202104
2021-04-05,28.53050041,202104
2021-04-06,28.38710022,202104
2021-04-07,28.43180084,202104
2021-04-08,28.35040092,202104
2021-04-09,28.37070084,202104
2021-04-12,28.5,202104
2021-04-13,28.39360046,202104
2021-04-14,28.4137001,202104
2021-04-15,28.33370018,202104
2021-04-16,28.24530029,202104
2021-04-19,28.25499916,202104
2021-04-20,28.12700081,202104
2021-04-21,28.02599907,202104
2021-04-22,27.97999954,202104
2021-04-23,28.0862999,202104
2021-04-26,28.03199959,202104
2021-04-27,27.80800056,202104
2021-04-28,27.89719963,202104
2021-04-29,27.78300095,202104
2021-04-30,27.76600075,202104
2021-05-03,27.8465004,202105
2021-05-04,27.92399979,202105
