資料期別,縣市,鄉鎮市區,住宅拍賣移轉筆數
107Q4,新北市,新莊區,11
107Q4,新北市,新店區,20
107Q4,新北市,樹林區,5
107Q4,新北市,鶯歌區,5
107Q4,新北市,三峽區,3
107Q4,新北市,淡水區,8
107Q4,新北市,汐止區,11
107Q4,新北市,瑞芳區,1
107Q4,新北市,土城區,7
107Q4,新北市,蘆洲區,9
107Q4,新北市,五股區,9
107Q4,新北市,林口區,3
107Q4,新北市,深坑區,1
107Q4,新北市,三芝區,1
107Q4,新北市,八里區,1
107Q4,新北市,金山區,1
107Q4,新北市,萬里區,2
107Q4,台北市,,118
107Q4,台北市,松山區,13
107Q4,台北市,信義區,10
107Q4,台北市,大安區,7
107Q4,台北市,中山區,16
107Q4,台北市,中正區,9
107Q4,台北市,大同區,3
107Q4,台北市,萬華區,18
107Q4,台北市,文山區,16
107Q4,台北市,南港區,1
107Q4,台北市,內湖區,4
107Q4,台北市,士林區,15
107Q4,台北市,北投區,6
107Q4,桃園市,,103
107Q4,桃園市,桃園區,27
107Q4,桃園市,中壢區,12
107Q4,桃園市,平鎮區,10
107Q4,桃園市,八德區,8
107Q4,桃園市,楊梅區,11
107Q4,桃園市,大溪區,4
107Q4,桃園市,蘆竹區,9
107Q4,桃園市,大園區,6
107Q4,桃園市,龜山區,9
107Q4,桃園市,龍潭區,5
107Q4,桃園市,觀音區,2
107Q4,台中市,,63
107Q4,台中市,南區,5
107Q4,台中市,西區,4
107Q4,台中市,北區,7
107Q4,台中市,西屯區,11
107Q4,台中市,南屯區,4
107Q4,台中市,北屯區,9
107Q4,台中市,豐原區,3
107Q4,台中市,東勢區,1
107Q4,台中市,沙鹿區,1
107Q4,台中市,梧棲區,3
107Q4,台中市,后里區,1
107Q4,台中市,潭子區,2
107Q4,台中市,大雅區,2
107Q4,台中市,外埔區,2
107Q4,台中市,烏日區,1
107Q4,台中市,大肚區,1
107Q4,台中市,霧峰區,4
107Q4,台中市,大里區,2
107Q4,台南市,,65
107Q4,台南市,新營區,5
107Q4,台南市,鹽水區,2
107Q4,台南市,後壁區,2
107Q4,台南市,麻豆區,1
107Q4,台南市,六甲區,1
107Q4,台南市,官田區,1
107Q4,台南市,佳里區,2
107Q4,台南市,學甲區,3
107Q4,台南市,七股區,1
107Q4,台南市,北門區,1
107Q4,台南市,新化區,2
107Q4,台南市,安定區,1
107Q4,台南市,左鎮區,1
107Q4,台南市,仁德區,3
107Q4,台南市,歸仁區,1
107Q4,台南市,關廟區,1
107Q4,台南市,永康區,10
107Q4,台南市,東區,10
107Q4,台南市,南區,4
107Q4,台南市,北區,4
107Q4,台南市,安平區,2
107Q4,台南市,中西區,7
107Q4,高雄市,,102
107Q4,高雄市,鼓山區,6
107Q4,高雄市,左營區,12
107Q4,高雄市,楠梓區,7
107Q4,高雄市,三民區,14
107Q4,高雄市,新興區,1
107Q4,高雄市,苓雅區,5
107Q4,高雄市,前鎮區,3
107Q4,高雄市,小港區,8
107Q4,高雄市,鳳山區,13
107Q4,高雄市,林園區,2
107Q4,高雄市,大寮區,6
107Q4,高雄市,大樹區,2
107Q4,高雄市,大社區,2
107Q4,高雄市,仁武區,2
107Q4,高雄市,鳥松區,2
107Q4,高雄市,岡山區,4
107Q4,高雄市,橋頭區,3
107Q4,高雄市,燕巢區,1
107Q4,高雄市,湖內區,2
107Q4,高雄市,梓官區,4
107Q4,高雄市,旗山區,2
107Q4,高雄市,甲仙區,1
107Q4,宜蘭縣,,15
107Q4,宜蘭縣,宜蘭市,4
107Q4,宜蘭縣,羅東鎮,2
107Q4,宜蘭縣,蘇澳鎮,1
107Q4,宜蘭縣,礁溪鄉,1
